order,val_MAE,val_RMSE,aic,fit_time_s,status
"(0, 0, 1)",905.6730474048874,952.8485296745104,89940.13259470437,25.330182100005914,ok
"(0, 0, 2)",579.944025182666,634.3428942028517,86175.57686614749,31.910219900019,ok
"(0, 0, 3)",431.56163019780337,481.6160226992586,83709.12363499559,39.235214299988,ok
"(1, 0, 0)",108.53649464565025,161.0519093695401,76064.46983948117,7.225453399994876,ok
"(1, 0, 1)",102.44137623778916,153.135222839242,74840.98979172563,9.217349699989427,ok
"(1, 0, 2)",102.47485021202742,153.1338249875263,74829.0540394811,11.546551799983718,ok
"(1, 0, 3)",102.33606403084228,152.58773455575292,74794.47609423519,9.078722600010224,ok
"(2, 0, 0)",102.57650911898054,153.4532669217067,75205.26260209014,10.846500000043306,ok
"(2, 0, 1)",102.46578075907524,153.13550452046456,74842.03258624527,29.42024060001131,ok
"(2, 0, 2)",102.39733436309048,152.77878264147617,74818.74523960121,11.400691499991808,ok
"(2, 0, 3)",102.13697559743872,152.41706073069446,74795.26618474603,12.40403419994982,ok
"(3, 0, 0)",101.13200875633183,151.017446361611,74847.3964738753,14.139894900028594,ok
"(3, 0, 1)",102.23012137440563,152.50240549383926,74807.87757723068,19.969183899986092,ok
"(3, 0, 2)",102.06949288018818,152.39344202523264,74808.41745690478,24.626826100051403,ok
"(3, 0, 3)",102.0786029814899,152.41105203067295,74797.47001439425,12.181675800005905,ok
