n_estimators,max_depth,learning_rate,val_MAE,val_RMSE,fit_time_s
100,3,0.05,104.55152893066406,162.53904724121094,0.3812002000049688
100,3,0.1,101.9382095336914,160.50601196289062,0.15936049999436364
100,5,0.05,106.8900146484375,167.935302734375,0.24752570000418928
100,5,0.1,107.81209564208984,171.38290405273438,0.2494548999966355
100,7,0.05,109.12092590332031,171.0372772216797,0.611606499995105
100,7,0.1,109.36900329589844,171.8852996826172,0.7209898000000976
300,3,0.05,102.87931060791016,162.4874267578125,0.45480129998759367
300,3,0.1,107.92121887207031,170.3560791015625,0.46946040001057554
300,5,0.05,106.56002044677734,168.66798400878906,0.8131874999962747
300,5,0.1,113.8101577758789,181.15365600585938,0.8166834000003291
300,7,0.05,111.90576171875,176.78561401367188,1.5816603999992367
300,7,0.1,115.53883361816406,181.26724243164062,2.163547299991478
