order,val_MAE,val_RMSE,aic,fit_time_s,status
"(0, 0, 1)",760.2792253663399,851.143009514177,89031.04531585283,21.24822429998312,ok
"(0, 0, 2)",461.17792255084316,536.6768677796814,84368.18107908516,31.521193800028414,ok
"(0, 0, 3)",333.5222010774818,400.05088908493804,81458.26913328134,51.835193899984006,ok
"(1, 0, 0)",86.67248992051356,123.9803220486651,71041.1967293708,8.12264590000268,ok
"(1, 0, 1)",85.67371059819533,120.64091149906724,70476.31402480337,5.059791299980134,ok
"(1, 0, 2)",84.82942080960203,119.80123489859886,70439.05397404391,9.382681799994316,ok
"(1, 0, 3)",82.85153037523988,117.7041735691169,70340.38069406323,13.3608751000138,ok
"(2, 0, 0)",84.80071274060509,119.95083929349728,70503.84184534245,11.789251999987755,ok
"(2, 0, 1)",85.31222046855775,120.26126317295869,70463.70231273877,13.308878700016066,ok
"(2, 0, 2)",81.83089554341386,117.68981732585914,70315.80861760744,44.1938525000005,ok
"(2, 0, 3)",81.7122297322767,117.32840692579573,70289.38994891505,48.01529950002441,ok
"(3, 0, 0)",85.18728381086488,120.10396952724972,70423.42075960521,13.864820799964946,ok
"(3, 0, 1)",84.73187517075047,119.59776054475756,70412.72953056071,22.356452899985015,ok
"(3, 0, 2)",81.75520331260162,117.40119191492431,70305.33566172497,55.8365067000268,ok
"(3, 0, 3)",81.57727113793779,117.22404440315677,70286.05903388397,64.32846549997339,ok
