order,val_MAE,val_RMSE,aic,fit_time_s,status
"(0, 0, 1)",805.9053771397188,837.548623254865,88635.85452552905,22.350610799971037,ok
"(0, 0, 2)",507.65030094555675,546.7146400796165,84716.94113883324,33.51625149999745,ok
"(0, 0, 3)",384.94264665028516,422.405819680621,82340.63993086084,42.03315700002713,ok
"(1, 0, 0)",94.37329621713117,138.22138609667678,74712.00154057547,8.633963599975687,ok
"(1, 0, 1)",87.70105677055281,125.52864829309692,73187.11253396221,9.825414600025397,ok
"(1, 0, 2)",88.65697949856386,126.48457068595867,73141.61240109809,12.340176100027747,ok
"(1, 0, 3)",88.83923492152289,126.70331518984395,73125.14380962442,15.629712800029665,ok
"(2, 0, 0)",86.7754599222638,125.99580005216033,73729.35695634913,11.740381899988279,ok
"(2, 0, 1)",88.79520094190099,126.65819728263645,73156.74973793159,15.289883999968879,ok
"(2, 0, 2)",87.68247032897811,125.52417673809983,73175.6007523146,25.22073460003594,ok
"(2, 0, 3)",88.77652718347461,126.61329236261233,73126.75944234857,32.75694510003086,ok
"(3, 0, 0)",85.3362101419246,123.98276508319316,73404.13509154707,10.202540100028273,ok
"(3, 0, 1)",88.93089383980835,126.83745612062903,73141.96158499704,23.526958399976138,ok
"(3, 0, 2)",88.9068378261532,126.77070778908674,73136.83176708108,32.54851009999402,ok
"(3, 0, 3)",89.01504921572959,126.9312358249143,73123.41889332591,48.61829790001502,ok
